x,y,color
0,0,#ffffff
1,0,#ffffff
2,0,#ffffff
3,0,#ffffff
4,0,#ffffff
5,0,#ffffff
6,0,#ffffff
7,0,#ffffff
8,0,#ffffff
9,0,#ffffff
10,0,#ffffff
11,0,#ffffff
12,0,#ffffff
13,0,#ffffff
14,0,#ffffff
15,0,#ffffff
16,0,#ffffff
17,0,#ffffff
18,0,#ffffff
19,0,#ffffff
20,0,#ffffff
21,0,#ffffff
22,0,#ffffff
23,0,#ffffff
24,0,#ffffff
25,0,#ffffff
26,0,#ffffff
27,0,#ffffff
28,0,#ffffff
29,0,#ffffff
30,0,#ffffff
31,0,#ffffff
32,0,#ffffff
33,0,#ffffff
34,0,#ffffff
35,0,#ffffff
36,0,#ffffff
37,0,#ffffff
38,0,#ffffff
39,0,#ffffff
40,0,#ffffff
41,0,#ffffff
42,0,#ffffff
43,0,#ffffff
44,0,#ffffff
45,0,#ffffff
46,0,#ffffff
47,0,#ffffff
48,0,#ffffff
49,0,#ffffff
50,0,#ffffff
51,0,#ffffff
52,0,#ffffff
53,0,#ffffff
54,0,#ffffff
55,0,#ffffff
56,0,#ffffff
57,0,#ffffff
58,0,#ffffff
59,0,#ffffff
60,0,#ffffff
61,0,#ffffff
62,0,#ffffff
63,0,#ffffff
64,0,#ffffff
65,0,#ffffff
66,0,#ffffff
67,0,#ffffff
68,0,#ffffff
69,0,#ffffff
70,0,#ffffff
71,0,#ffffff
72,0,#ffffff
73,0,#ffffff
74,0,#ffffff
75,0,#ffffff
76,0,#ffffff
77,0,#ffffff
78,0,#ffffff
79,0,#ffffff
80,0,#ffffff
81,0,#ffffff
82,0,#ffffff
83,0,#ffffff
84,0,#ffffff
85,0,#ffffff
86,0,#ffffff
87,0,#ffffff
88,0,#ffffff
89,0,#ffffff
90,0,#ffffff
91,0,#ffffff
92,0,#ffffff
93,0,#ffffff
94,0,#ffffff
95,0,#ffffff
96,0,#ffffff
97,0,#ffffff
98,0,#ffffff
99,0,#ffffff
100,0,#ffffff
101,0,#ffffff
102,0,#ffffff
103,0,#ffffff
104,0,#ffffff
105,0,#ffffff
106,0,#ffffff
107,0,#ffffff
108,0,#ffffff
109,0,#ffffff
110,0,#ffffff
111,0,#ffffff
112,0,#ffffff
113,0,#ffffff
114,0,#ffffff
115,0,#ffffff
116,0,#ffffff
117,0,#ffffff
118,0,#ffffff
119,0,#ffffff
120,0,#ffffff
121,0,#ffffff
122,0,#ffffff
123,0,#ffffff
124,0,#ffffff
125,0,#ffffff
126,0,#ffffff
127,0,#ffffff
128,0,#ffffff
129,0,#ffffff
130,0,#ffffff
131,0,#ffffff
132,0,#ffffff
133,0,#ffffff
134,0,#ffffff
135,0,#ffffff
136,0,#ffffff
137,0,#ffffff
138,0,#ffffff
139,0,#ffffff
140,0,#ffffff
141,0,#ffffff
142,0,#ffffff
143,0,#ffffff
144,0,#ffffff
145,0,#ffffff
146,0,#ffffff
147,0,#ffffff
148,0,#ffffff
149,0,#ffffff
150,0,#ffffff
151,0,#ffffff
152,0,#ffffff
153,0,#ffffff
154,0,#ffffff
155,0,#ffffff
156,0,#ffffff
157,0,#ffffff
158,0,#ffffff
159,0,#ffffff
160,0,#ffffff
161,0,#ffffff
162,0,#ffffff
163,0,#ffffff
164,0,#ffffff
165,0,#ffffff
166,0,#ffffff
167,0,#ffffff
168,0,#ffffff
169,0,#ffffff
170,0,#ffffff
171,0,#ffffff
172,0,#ffffff
173,0,#ffffff
174,0,#ffffff
175,0,#ffffff
176,0,#ffffff
177,0,#ffffff
178,0,#ffffff
179,0,#ffffff
180,0,#ffffff
181,0,#ffffff
182,0,#ffffff
183,0,#ffffff
184,0,#ffffff
185,0,#ffffff
186,0,#ffffff
187,0,#ffffff
188,0,#ffffff
189,0,#ffffff
190,0,#ffffff
191,0,#ffffff
192,0,#ffffff
193,0,#ffffff
194,0,#ffffff
195,0,#ffffff
196,0,#ffffff
197,0,#ffffff
198,0,#ffffff
199,0,#ffffff
200,0,#ffffff
201,0,#ffffff
202,0,#ffffff
203,0,#ffffff
204,0,#ffffff
205,0,#ffffff
206,0,#ffffff
207,0,#ffffff
208,0,#ffffff
209,0,#ffffff
210,0,#ffffff
211,0,#ffffff
212,0,#ffffff
213,0,#ffffff
214,0,#ffffff
215,0,#ffffff
216,0,#ffffff
217,0,#ffffff
218,0,#ffffff
219,0,#ffffff
220,0,#ffffff
221,0,#ffffff
222,0,#ffffff
223,0,#ffffff
224,0,#ffffff
225,0,#ffffff
226,0,#ffffff
227,0,#ffffff
228,0,#ffffff
229,0,#ffffff
230,0,#ffffff
231,0,#ffffff
232,0,#ffffff
233,0,#ffffff
234,0,#ffffff
235,0,#ffffff
236,0,#ffffff
237,0,#ffffff
238,0,#ffffff
239,0,#ffffff
240,0,#ffffff
241,0,#ffffff
242,0,#ffffff
243,0,#ffffff
244,0,#ffffff
245,0,#ffffff
246,0,#ffffff
247,0,#ffffff
248,0,#ffffff
249,0,#ffffff
250,0,#ffffff
251,0,#ffffff
252,0,#ffffff
253,0,#ffffff
254,0,#ffffff
255,0,#ffffff
256,0,#ffffff
257,0,#ffffff
258,0,#ffffff
259,0,#ffffff
260,0,#ffffff
261,0,#ffffff
262,0,#ffffff
263,0,#ffffff
264,0,#ffffff
265,0,#ffffff
266,0,#ffffff
267,0,#ffffff
268,0,#ffffff
269,0,#ffffff
270,0,#ffffff
271,0,#ffffff
272,0,#ffffff
273,0,#ffffff
274,0,#ffffff
275,0,#ffffff
276,0,#ffffff
277,0,#ffffff
278,0,#ffffff
279,0,#ffffff
280,0,#ffffff
281,0,#ffffff
282,0,#ffffff
283,0,#ffffff
284,0,#ffffff
285,0,#ffffff
286,0,#ffffff
287,0,#ffffff
288,0,#ffffff
289,0,#ffffff
290,0,#ffffff
291,0,#ffffff
292,0,#ffffff
293,0,#ffffff
294,0,#ffffff
295,0,#ffffff
296,0,#ffffff
297,0,#ffffff
298,0,#ffffff
299,0,#ffffff
300,0,#ffffff
301,0,#ffffff
302,0,#ffffff
303,0,#ffffff
304,0,#ffffff
305,0,#ffffff
306,0,#ffffff
307,0,#ffffff
308,0,#ffffff
309,0,#ffffff
310,0,#ffffff
311,0,#ffffff
312,0,#ffffff
313,0,#ffffff
314,0,#ffffff
315,0,#ffffff
316,0,#ffffff
317,0,#ffffff
318,0,#ffffff
319,0,#ffffff
320,0,#ffffff
321,0,#ffffff
322,0,#ffffff
323,0,#ffffff
324,0,#ffffff
325,0,#ffffff
326,0,#ffffff
327,0,#ffffff
328,0,#ffffff
329,0,#ffffff
330,0,#ffffff
331,0,#ffffff
332,0,#ffffff
333,0,#ffffff
334,0,#ffffff
335,0,#ffffff
336,0,#ffffff
337,0,#ffffff
338,0,#ffffff
339,0,#ffffff
340,0,#ffffff
341,0,#ffffff
342,0,#ffffff
343,0,#ffffff
344,0,#ffffff
345,0,#ffffff
346,0,#ffffff
347,0,#ffffff
348,0,#ffffff
349,0,#ffffff
350,0,#ffffff
351,0,#ffffff
352,0,#ffffff
353,0,#ffffff
354,0,#ffffff
355,0,#ffffff
356,0,#ffffff
357,0,#ffffff
358,0,#ffffff
359,0,#ffffff
360,0,#ffffff
361,0,#ffffff
362,0,#ffffff
363,0,#ffffff
364,0,#ffffff
365,0,#ffffff
366,0,#ffffff
367,0,#ffffff
368,0,#ffffff
369,0,#ffffff
370,0,#ffffff
371,0,#ffffff
372,0,#ffffff
373,0,#ffffff
374,0,#ffffff
375,0,#ffffff
376,0,#ffffff
377,0,#ffffff
378,0,#ffffff
379,0,#ffffff
380,0,#ffffff
381,0,#ffffff
382,0,#ffffff
383,0,#ffffff
384,0,#ffffff
385,0,#ffffff
386,0,#ffffff
387,0,#ffffff
388,0,#ffffff
389,0,#ffffff
390,0,#ffffff
391,0,#ffffff
392,0,#ffffff
393,0,#ffffff
394,0,#ffffff
395,0,#ffffff
396,0,#ffffff
397,0,#ffffff
398,0,#ffffff
399,0,#ffffff
400,0,#ffffff
401,0,#ffffff
402,0,#ffffff
403,0,#ffffff
404,0,#ffffff
405,0,#ffffff
406,0,#ffffff
407,0,#ffffff
408,0,#ffffff
409,0,#ffffff
410,0,#ffffff
411,0,#ffffff
412,0,#ffffff
413,0,#ffffff
414,0,#ffffff
415,0,#ffffff
416,0,#ffffff
417,0,#ffffff
418,0,#ffffff
419,0,#ffffff
420,0,#ffffff
421,0,#ffffff
422,0,#ffffff
423,0,#ffffff
424,0,#ffffff
425,0,#ffffff
426,0,#ffffff
427,0,#ffffff
428,0,#ffffff
429,0,#ffffff
430,0,#ffffff
431,0,#ffffff
432,0,#ffffff
433,0,#ffffff
434,0,#ffffff
435,0,#ffffff
436,0,#ffffff
437,0,#ffffff
438,0,#ffffff
439,0,#ffffff
440,0,#ffffff
441,0,#ffffff
442,0,#ffffff
443,0,#ffffff
444,0,#ffffff
445,0,#ffffff
446,0,#ffffff
447,0,#ffffff
448,0,#ffffff
449,0,#ffffff
450,0,#ffffff
451,0,#ffffff
452,0,#ffffff
453,0,#ffffff
454,0,#ffffff
455,0,#ffffff
456,0,#ffffff
457,0,#ffffff
458,0,#ffffff
459,0,#ffffff
460,0,#ffffff
461,0,#ffffff
462,0,#ffffff
463,0,#ffffff
464,0,#ffffff
465,0,#ffffff
466,0,#ffffff
467,0,#ffffff
468,0,#ffffff
469,0,#ffffff
470,0,#ffffff
471,0,#ffffff
472,0,#ffffff
473,0,#ffffff
474,0,#ffffff
475,0,#ffffff
476,0,#ffffff
477,0,#ffffff
478,0,#ffffff
479,0,#ffffff
480,0,#ffffff
481,0,#ffffff
482,0,#ffffff
483,0,#ffffff
484,0,#ffffff
485,0,#ffffff
486,0,#ffffff
487,0,#ffffff
488,0,#ffffff
489,0,#ffffff
490,0,#ffffff
491,0,#ffffff
492,0,#ffffff
493,0,#ffffff
